quest_index,status,score,start_time,end_time,number_of_confirm,prog_statement
0,True,25,2025</>9</>17</>10</>13</>40,2025</>9</>17</>10</>14</>13,6,x = input('好きな整数を入力してください。')<Return-Separator>print(x)<Return-Separator><Return-Separator><Return-Separator>
1,True,25,2025</>9</>17</>10</>16</>11,2025</>9</>17</>10</>16</>32,4,print('Hello World')<Return-Separator><Return-Separator>
2,False,0,2025</>9</>17</>10</>46</>54,2025</>9</>17</>10</>46</>54,1,
3,False,0,null,null,0,
4,False,0,null,null,0,
5,False,0,null,null,0,
6,False,0,null,null,0,
7,False,0,null,null,0,
8,False,0,null,null,0,
9,False,0,null,null,0,
10,False,0,null,null,0,
11,False,0,null,null,0,
12,False,0,null,null,0,
13,False,0,null,null,0,
14,False,0,null,null,0,
15,False,0,null,null,0,
16,False,0,null,null,0,
17,False,0,null,null,0,
18,False,0,null,null,0,
19,False,0,null,null,0,
20,False,0,null,null,0,
21,False,0,null,null,0,
22,False,0,null,null,0,
23,False,0,null,null,0,
24,False,0,null,null,0,
25,False,0,null,null,0,
26,False,0,null,null,0,
27,False,0,null,null,0,
28,False,0,null,null,0,
29,False,0,null,null,0,
30,False,0,null,null,0,
31,False,0,null,null,0,
32,False,0,null,null,0,
33,False,0,null,null,0,
34,False,0,null,null,0,
35,False,0,null,null,0,
36,False,0,null,null,0,
37,False,0,null,null,0,
38,False,0,null,null,0,
39,False,0,null,null,0,
40,False,0,null,null,0,
41,False,0,null,null,0,
42,False,0,null,null,0,
43,False,0,null,null,0,
44,False,0,null,null,0,
45,False,0,null,null,0,
46,False,0,null,null,0,
47,False,0,null,null,0,
48,False,0,null,null,0,
49,False,0,null,null,0,
50,False,0,null,null,0,
51,False,0,null,null,0,
52,False,0,null,null,0,
53,False,0,null,null,0,
54,False,0,null,null,0,
55,False,0,null,null,0,
56,False,0,null,null,0,
57,False,0,null,null,0,
58,False,0,null,null,0,
